,PUBCHEM_COMPOUND_CID,PUBCHEM_COMPOUND_CANONICALIZED,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_CACTVS_SUBSKEYS,PUBCHEM_IUPAC_OPENEYE_NAME,PUBCHEM_IUPAC_CAS_NAME,PUBCHEM_IUPAC_NAME_MARKUP,PUBCHEM_IUPAC_NAME,PUBCHEM_IUPAC_SYSTEMATIC_NAME,PUBCHEM_IUPAC_TRADITIONAL_NAME,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,PUBCHEM_XLOGP3,PUBCHEM_EXACT_MASS,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,smiles,PUBCHEM_OPENEYE_ISO_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_MONOISOTOPIC_WEIGHT,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_DEF_STEREO_COUNT,PUBCHEM_ATOM_UDEF_STEREO_COUNT,PUBCHEM_BOND_DEF_STEREO_COUNT,PUBCHEM_BOND_UDEF_STEREO_COUNT,PUBCHEM_ISOTOPIC_ATOM_COUNT,PUBCHEM_COMPONENT_COUNT,PUBCHEM_CACTVS_TAUTO_COUNT,PUBCHEM_COORDINATE_TYPE,ID,PUBCHEM_XLOGP3_AA,PUBCHEM_BONDANNOTATIONS,PUBCHEM_NONSTANDARDBOND,scores_bbd,scores_bbd_sort_idcs,scores_soil,scores_soil_sort_idcs,agro_categories,acaricide,adjuvant,algicide,algistat,amide fungicide,amide herbicide,anilide herbicide,anti-fouling agent,antibiotic fungicide,antimicrobial,attractant,avicide,bactericide,benzimidazole fungicide,benzofuranyl alkylsulfonate herbicide,biocide,bird repellent,chloroacetanilide herbicide,chlorotriazine herbicide,desiccant,elicitor,formamidine insecticide,fumigant,fungicide,herbicide,heterocyclic organothiophosphate insecticide,inert,insect attractant,insecticide,metabolite,methoxytriazine herbicide,methylthiotriazine herbicide,microbiocide,miticide,molluscicide,multi-target,nematicide,nicotinoid insecticide,nitrile herbicide,nitroguanidine insecticide,nr,organophosphorus insecticide,organothiophosphate insecticide,pesticide,phenylpyrazole insecticide,phenylsulfamide fungicide,phenylurea herbicide,pheromone,piscicide,plant activator,plant growth regulator,preservative,pyrazole insecticide,pyrethroid ester insecticide,pyrethroid insecticide,pyridazinone herbicide,repellent,rodenticide,safener,soil treatment,solvent,strobilurin fungicide,sulfonylurea herbicide,synergist,termaticide,transformation product,triazine herbicide,triazinone herbicide,triazinylsulfonylurea herbicide,uracil herbicide,urea herbicide,veterinary substance,wood preservative,isInSOIL,isInBBD,SOIL_top50,BBD_top50,SOIL_top20,BBD_top20
0,11,1,6.0,0,0,1,AAADcYBAAAAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAIAAAAAAAOAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"1,2-dichloroethane","1,2-dichloroethane","1,2-dichloroethane","1,2-dichloroethane","1,2-bis(chloranyl)ethane","1,2-dichloroethane",InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,WSLDOOZREJYCGB-UHFFFAOYSA-N,1.5,97.9690055,C2H4Cl2,98.96,C(CCl)Cl,C(CCl)Cl,0.0,97.9690055,0,4,0,0,0,0,0,1,1,"1
5
255",11,,,,34.83507179858211,1363,58.98382916498821,2333,['Insecticide'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0.0,0.0,0.0,0.0
1,45,1,103.0,5,3,2,AAADcYBAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAIACAAAAgAIAACQCAIAAAAAAAAAAAFAAAABEAQIAAAAQAABIAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,2-hydroxypropanedioic acid,2-hydroxypropanedioic acid,2-hydroxypropanedioic acid,2-hydroxypropanedioic acid,2-oxidanylpropanedioic acid,2-hydroxymalonic acid,"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)",ROBFUDYVXSDBQM-UHFFFAOYSA-N,,120.00587322,C3H4O5,120.06,C(C(=O)O)(C(=O)O)O,C(C(=O)O)(C(=O)O)O,94.8,120.00587322,0,8,0,0,0,0,0,1,7,"1
5
255",45,-1.1,,,65.0259655215047,1772,38.95428682507868,2427,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,0.0,0.0,0.0,0.0
2,101,1,101.0,2,1,1,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCIAihSgAACAAAkIAAIiAEGCMgIJjKCFRKAcQAkwBEImYeKyBCOAAABAAAAAAAAAAIAAAAAAAAAAAAAAA==,3-hydroxybenzaldehyde,3-hydroxybenzaldehyde,3-hydroxybenzaldehyde,3-hydroxybenzaldehyde,3-oxidanylbenzaldehyde,3-hydroxybenzaldehyde,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",IAVREABSGIHHMO-UHFFFAOYSA-N,1.4,122.03677943,C7H6O2,122.12,C1=CC(=CC(=C1)O)C=O,C1=CC(=CC(=C1)O)C=O,37.3,122.03677943,0,9,0,0,0,0,0,1,3,"1
5
255",101,,"3  4  8
3  6  8
4  5  8
5  7  8
6  8  8
7  8  8",,32.787525970075144,1773,0.0,2519,['Insecticides'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0.0,0.0,0.0,0.0
3,135,1,125.0,3,2,1,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAAwDoAAAgCIAiDSCAACAAAkIAAIiAEGCMgIJjKCFRKAcQAkwBEImYeI7CTOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==,4-hydroxybenzoic acid,4-hydroxybenzoic acid,4-hydroxybenzoic acid,4-hydroxybenzoic acid,4-oxidanylbenzoic acid,4-hydroxybenzoic acid,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,1.6,138.031694049,C7H6O3,138.12,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)O)O,57.5,138.031694049,0,10,0,0,0,0,0,1,8,"1
5
255",135,,"4  5  8
4  6  8
5  8  8
6  9  8
7  8  8
7  9  8",,41.90479976875268,1774,54.45588534372163,1476,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0.0,0.0,0.0,0.0
4,176,1,31.0,2,1,0,AAADcYBAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAAAACAgAACCAAAAgAIAACQCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,acetic acid,acetic acid,acetic acid,acetic acid,ethanoic acid,acetic acid,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,,60.021129366,C2H4O2,60.05,CC(=O)O,CC(=O)O,37.3,60.021129366,0,4,0,0,0,0,0,1,1,"1
5
255",176,-0.2,,,86.52352164726545,1775,39.00627343209212,2129,"['Microbiocide', 'Herbicides', 'Herbicides, Transformation products']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,False,0.0,1.0,0.0,1.0
5,180,1,26.3,1,0,0,AAADcYBAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACASAgAACAAAAAAAIAIAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,acetone,2-propanone,propan-2-one,propan-2-one,propan-2-one,acetone,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N,,58.041864811,C3H6O,58.08,CC(=O)C,CC(=O)C,17.1,58.041864811,0,4,0,0,0,0,0,1,2,"1
5
255",180,-0.1,,,85.01787482646606,1776,38.627741912403664,1192,['Solvent'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0
6,222,1,0.0,1,1,0,AAADcQACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,ammonia,ammonia,azane,azane,azane,ammonia,InChI=1S/H3N/h1H3,QGZKDVFQNNGYKY-UHFFFAOYSA-N,,17.0265491,H3N,17.031,N,N,1.0,17.0265491,0,1,0,0,0,0,0,1,-1,"1
5
255",222,-0.7,,,94.1223462725444,1777,52.619888522841975,401,['Microbiocide'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0.0,1.0,0.0,1.0
7,223,1,0.0,0,1,0,AAADcYACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,ammonium,ammonium,azanium,azanium,azanium,ammonium,InChI=1S/H3N/h1H3/p+1,QGZKDVFQNNGYKY-UHFFFAOYSA-O,,18.034374132,H4N+,18.039,[NH4+],[NH4+],1.0,18.034374132,1,1,0,0,0,0,0,1,1,"1
5
255",223,-0.7,,,94.1223462725444,1778,52.619888522841975,1477,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0
8,234,1,49.8,4,3,0,AAADcQAAOAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,arsoric acid,arsoric acid,arsoric acid,arsoric acid,arsoric acid,arsoric acid,"InChI=1S/AsH3O4/c2-1(3,4)5/h(H3,2,3,4,5)",DJHGAFSJWGLOIV-UHFFFAOYSA-N,,141.924728,AsH3O4,141.943,O[As](=O)(O)O,O[As](=O)(O)O,77.8,141.924728,0,5,0,0,0,0,0,1,1,"1
5
255",234,,,,0.0,1779,74.0478649819642,860,['Preservative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0.0,0.0,0.0,0.0
9,243,1,104.0,2,1,1,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADACAmAAwCIAAAgCIAiDSCAACAAAkAAAIiAEACMgIJjKAFRCAcQAkwAEImYeIyCCOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,benzoic acid,benzoic acid,benzoic acid,benzoic acid,benzoic acid,benzoic acid,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,1.9,122.03677943,C7H6O2,122.12,C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)C(=O)O,37.3,122.03677943,0,9,0,0,0,0,0,1,-1,"1
5
255",243,,"3  4  8
3  5  8
4  6  8
5  7  8
6  8  8
7  8  8",,57.840372798605976,1780,46.38668717579139,2130,"['Herbicide', 'Bactericides, Fungicides, Other Treatment', 'Insecticides, Antimicrobials, Fungicides']",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,0.0,0.0,0.0,0.0
