,SMILES,MACCS,year,isRootCompound,cid,use_cats,acaricide,attractant,biocide,fungicide,herbicide,insecticide,pesticide,growth reg,transformation product,drug,food,health hazard,fire hazard,SMILES_canon,isInAgro
0,C1=CC2=C(C=C1)C3=C(C=C[C@@H]([C@@H]3O)O)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9AC040>,,False,441319.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O[C@H]1C=CC2=C(c3ccccc3C2)[C@H]1O,False
1,C=C(C)[C@H]1CC=C(C)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9E6400>,0.0,True,440917.0,"['EPA Safer Chemical Functional Use Classes -> Fragrances;Solvents', 'Safer Chemical Classes ->   Yellow triangle - The chemical has met Safer Choice Criteria for its functional ingredient-class, but has some hazard profile issues', 'Food additives -> Flavoring Agents', 'Flavoring Agents -> JECFA Flavorings Index', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Lipids -> Prenol Lipids [PR] -> Isoprenoids [PR01] -> C10 isoprenoids (monoterpenes) [PR0102]']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,C=C(C)[C@H]1CC=C(C)CC1,False
2,CC1(C)C2CCC1(C)C(=O)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9E66A0>,1998.0,True,2537.0,"['Food additives -> Flavoring Agents', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Flavoring Agents -> JECFA Flavorings Index', 'Flavoring Agents -> JECFA Flavorings Index', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Lipids -> Prenol Lipids [PR] -> Isoprenoids [PR01] -> C10 isoprenoids (monoterpenes) [PR0102]', 'Fire Hazards -> Flammable - 2nd degree', 'Cosmetics -> Denaturant; Plasticiser']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,CC12CCC(CC1=O)C2(C)C,False
3,CC(C)[C@@H]1CC[C@@H](C)CC1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9E6700>,2006.0,True,11228933.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)[C@@H]1CC[C@@H](C)CC1O,False
4,CC(C)[C@@H]1CC[C@@H](C)CC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9E61C0>,,False,26447.0,"['Food additives -> Flavoring Agents', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Flavoring Agents -> JECFA Flavorings Index', 'Lipids -> Prenol Lipids [PR] -> Isoprenoids [PR01] -> C10 isoprenoids (monoterpenes) [PR0102]']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CC(C)[C@@H]1CC[C@@H](C)CC1=O,False
5,CCCCC(C)C(CC(=O)[O-])C(=O)[O-],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9E6C40>,,False,9543269.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCC(C)C(CC(=O)[O-])C(=O)[O-],False
6,CCCCC(C)C(CC(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F9704C0>,,False,74982274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCC(C)C(CC(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,False
7,CC1(C)C(C=C(Cl)Cl)C1C(=O)[O-],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F970400>,,False,4739257.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1(C)C(C=C(Cl)Cl)C1C(=O)[O-],False
8,C=C(C)[C@@H]1CC[C@@](C)([C@H](C1)O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F970640>,,False,441246.0,"['Flavoring Agents -> JECFA Flavorings Index', 'Lipids -> Prenol Lipids [PR] -> Isoprenoids [PR01] -> C10 isoprenoids (monoterpenes) [PR0102]']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)[C@@H]1CC[C@](C)(O)[C@@H](O)C1,False
9,C=C(C)[C@@H]1CC[C@@](C)(C(=O)C1)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D15F970700>,,False,443522.0,['Lipids -> Prenol Lipids [PR] -> Isoprenoids [PR01] -> C10 isoprenoids (monoterpenes) [PR0102]'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)[C@@H]1CC[C@](C)(O)C(=O)C1,False
