,SMILES,MACCS,year,isRootCompound,cid,use_cats,acaricide,attractant,biocide,fungicide,herbicide,insecticide,pesticide,growth reg,transformation product,drug,food,health hazard,fire hazard,SMILES_canon,isInAgro
0,CC1(C)CON(CC2=CC(=CC=C2Cl)O)C1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BCA0>,,False,71343220.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1(C)CON(Cc2cc(O)ccc2Cl)C1=O,False
1,CC1(C)C(=O)N(CC2=CC(=CC=C2Cl)O)OC1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BE80>,,False,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1(C)C(=O)N(Cc2cc(O)ccc2Cl)OC1O,False
2,C1=NC(=O)NN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BAC0>,,False,135436542.0,"['Corrosion inhibitors -> Transformation products', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,O=c1nc[nH][nH]1,False
3,C1=NC=NN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BBE0>,,False,9257.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,c1nc[nH]n1,True
4,C(C(=O)O)N1C=NC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BD60>,,False,1810180.0,"['Transformation products', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,O=C(O)Cn1cncn1,True
5,C(=C\Cl)/CCl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BE20>,2003.0,True,24726.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cl/C=C/CCl,False
6,C1=CC2=C(C=CC(=C2C=C1)O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BFA0>,,False,11305.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Oc1ccc(O)c2ccccc12,True
7,C1=CC2=C(C=C1)C(=O)C=CC2=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BF40>,,False,8530.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,O=C1C=CC(=O)c2ccccc21,True
8,C1CS(=O)(=O)CCS1(=O)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BEE0>,,False,280736.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=S1(=O)CCS(=O)(=O)CC1,False
9,C1=CC2=C(C=C1)C(=CC=C2)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BA60>,,False,7005.0,"['Cosmetics -> Hair dyeing', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Oc1cccc2ccccc12,True
10,CC(CO)C1=CC=C(C=C1)NC(=O)N(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9BA00>,,False,71347980.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,CC(CO)c1ccc(NC(=O)N(C)C)cc1,True
11,CCOCN1C2=C(C=CC=C2C)[C@H](C)OC(=O)C1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B9A0>,,False,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCOCN1C(=O)C(=O)O[C@@H](C)c2cccc(C)c21,False
12,CC1=CC=CC2=C1C=CC=C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B940>,,False,7002.0,"['Food additives -> Flavoring Agents', 'Flavoring Agents -> JECFA Flavorings Index', 'Fire Hazards -> Flammable - 2nd degree', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Cc1cccc2ccccc12,True
13,C1=CC2=C(C=C1)C(=CC=C2)CO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B8E0>,,False,20908.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,OCc1cccc2ccccc12,True
14,C1=CC2=C(C=C1)C(=CC=C2)C(=O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B880>,,False,6847.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,O=C(O)c1cccc2ccccc12,True
15,C1=CC2=C(C=C1)C(=CC=C2)CC(=O)N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B7C0>,2007.0,True,6861.0,"['Agrochemicals -> Plant Growth Regulators', 'Environmental transformation -> Pesticides (parent, predecessor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NC(=O)Cc1cccc2ccccc12,True
16,C1=CC2=C(C=C1)C(=CC=C2)OC(=O)NCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B760>,,False,21341.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(NCO)Oc1cccc2ccccc12,False
17,CCCCCCCCS,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B700>,,False,8144.0,"['Fire Hazards -> Flammable - 2nd degree, Reactive - 1st degree', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,CCCCCCCCS,True
18,CCCCCCCCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B6A0>,,False,957.0,"['EPA Safer Chemical Functional Use Classes -> Fragrances', 'Safer Chemical Classes ->   Green half-circle - The chemical is expected to be of low concern', 'Food additives -> Flavoring Agents', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Flavoring Agents -> JECFA Flavorings Index', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes', 'Fatty Acyls [FA] -> Fatty alcohols [FA05]', 'Cosmetics -> Viscosity controlling', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,CCCCCCCCO,True
19,C1=CC=C(C=C1)CC(=O)N/C(=N/OCC2CC2)/C3=C(C(=CC=C3C(F)(F)F)F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B640>,,False,135515530.0,"['Agrochemicals -> Fungicides', 'Fungicides', 'Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,O=C(Cc1ccccc1)N/C(=N/OCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,False
20,C1CC1CO/N=C(/C2=C(C(=CC=C2C(F)(F)F)F)F)\N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B5E0>,,False,11130163.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,N/C(=N\OCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,False
21,C1=C(C(=C(C(=C1)F)F)C(=N)N)C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B580>,,False,10220142.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,N=C(N)c1c(C(F)(F)F)ccc(F)c1F,True
22,C1=C(C(=C(C(=C1)F)F)C(=O)N)C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B520>,,False,22010119.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NC(=O)c1c(C(F)(F)F)ccc(F)c1F,True
23,C1CC1CO/N=C(\C2=C(C(=CC=C2C(F)(F)F)F)F)/NC(=O)CC(=O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B4C0>,,False,139597701.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,O=C(O)CC(=O)N/C(=N/OCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,False
24,C(C(Cl)Cl)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D160A9B460>,,False,11718.0,"['Environmental transformation -> Pesticide transformation products (metabolite, successor)']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,OCC(Cl)Cl,True
