my_id,ID,nr-ahr,nr-ar-lbd,nr-aromatase,nr-ar,nr-er-lbd,nr-er,nr-ppar-gamma,sr-are,sr-atad5,sr-hse,sr-mmp,sr-p53,smiles
19039,NCGC00255644-01,0,?,?,0,?,?,?,?,?,?,?,?,CC(O)=O.[H][C@@]12CCC3=CC(=CC=C3[C@@]1(C)CCC[C@@]2(C)CN)C(C)C
16847,NCGC00167436-01,0,?,?,0,?,?,?,?,?,?,?,?,CC(C)OC(=O)C1=C(C)NC(N)=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC3CN(C3)C(C4=CC=CC=C4)C5=CC=CC=C5
114135,NCGC00254013-01,0,?,?,0,?,?,?,?,?,?,?,?,Cl.CN(C)C(=O)C1(CCN(CCC2(CN(CCO2)C(=O)C3=CC=CC=C3)C4=CC=C(Cl)C(Cl)=C4)CC1)N5CCCCC5
156137,NCGC00256767-01,0,?,1,0,?,?,?,?,?,?,?,?,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CC
156629,NCGC00257992-01,0,?,?,0,?,?,?,?,?,?,?,?,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
156627,NCGC00255508-01,0,?,?,0,?,?,?,?,?,?,?,?,[Cl-].CC1=CC(OCCOCC[N+](C)(C)CC2=CC=CC=C2)=CC=C1C(C)(C)CC(C)(C)C
116304,NCGC00258955-01,0,?,?,1,?,?,?,?,?,?,?,?,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
152664,NCGC00254000-01,0,?,1,0,?,?,?,?,?,?,?,?,OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(=C(/C1=CC=CC=C1)C2=CC=C(OCCN(C)C)C=C2)C3=CC=CC=C3
157155,NCGC00163233-01,0,?,0,0,?,?,?,?,?,?,?,?,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]6([H])C[C@@]([H])(C[C@]7(CC[C@H](C)[C@]([H])(O7)[C@@H](C)CC)O6)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O
22354,NCGC00259487-01,0,?,?,0,?,?,?,?,?,?,?,?,CC1=CC(=C(O)C=C1)C(C)(C)C
